Brand,Phone Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Apple,Apple IPhone6S Plus,"₦ 103,300","₦ 210,900",51%,Apple IPhone6S Plus Refurbished 5.5Inch Smartphone 64GB(Gift)-Gold,,
Apple,"Apple 5.5"" IPhone","₦ 112,750",,,"Apple 5.5"" IPhone 6 Plus 16GB -Grey (Refurbished)",1,1
Apple,Apple IPhone 6S,"₦ 102,200","₦ 146,000",30%,Apple IPhone 6S Mobile Phone - 64GB - 4.7 Inch IOS 9.0 - Apple Smartphone - Silver,,
Apple,Apple IPhone 5SE-16G+1G,"₦ 59,990","₦ 199,000",70%,Apple IPhone 5SE-16G+1G - 4.0 Inch Screen-12MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone- Gold,,
Apple,Apple IPhone 5C,"₦ 24,500","₦ 84,000",71%,Apple IPhone 5C 8GB Green 4G -  4-inch Screen (Gift：accessories) Smart Phone(Refurbished),,
Apple,Apple IPhone 6s,"₦ 129,700","₦ 189,000",31%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD- Grey,,
Apple,Apple IPhone 6sP,"₦ 149,000","₦ 293,000",49%,Apple IPhone 6sP - 5.5 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD-Grey,,
1,1 Pc Protective,"₦ 2,448 - ₦ 2,583","₦ 4,896 - ₦ 5,165",50%,1 Pc Protective Earphone Case Headphone Case Compatible For Galaxy Buds,,
Tecno,"Tecno T901, 2.4inch,","₦ 12,500","₦ 13,500",7%,"Tecno T901, 2.4inch, Support YouTube, Whatsapp, Kaistore,0.3MP+0.3MP Camera With Rear Flash,1900mAh, Champagne Gold",,
Apple,Apple 12 Pro,"₦ 780,000",,,"Apple 12 Pro Max - 256GB, 6GB RAM, 6.7-Inch,(12MP+12MP+12MP) - Pacific Blue",,
Apple,Apple 12 Pro,"₦ 690,000",,,"Apple 12 Pro Max - 128GB, 6GB RAM, 6.7-Inch,(12MP+12MP+12MP) - Graphite",,
Apple,Apple IPhone 7,"₦ 173,149",,,Apple IPhone 7 32GB (Refurbished) - Black 4.7 Inch Sreen,,
Apple,Apple IPhone 6sP,"₦ 87,350","₦ 293,000",70%,Apple IPhone 6sP - 5.5 Inch 4G LET Smartphone 2GB+16GB 12MP Finger Sensor HD- Gold,,
Apple,Apple IPhone 6s,"₦ 89,990","₦ 189,000",52%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+16GB 12MP Finger Sensor HD- Grey,,
Apple,Apple IPhone XS,"₦ 290,000",,,Apple IPhone XS 256GB - Gold + Free Pouch,,
Apple,Apple IPhone 6s,"₦ 109,000","₦ 189,000",42%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD- Gold,,
Apple,Apple IPhone 7Plus-5.5,"₦ 209,900","₦ 410,000",49%,Apple IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Silver,,
Apple,Apple IPhone 7-4.7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7-4.7 Inch Smartphone 2GB+128GB 12MP Finger Sensor 4G LTE (gift) HD-Red,,
Apple,Apple IPhone 6s,"₦ 89,990","₦ 189,000",52%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+16GB 12MP Finger Sensor HD- Gold,,
Apple,Apple IPhone 5SE-16G+1G,"₦ 56,000","₦ 199,000",72%,Apple IPhone 5SE-16G+1G - 4.0 Inch Screen-12MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone- Gold,,
Apple,Apple IPhone 6s,"₦ 109,000","₦ 189,000",42%,Apple IPhone 6s - 4.7 Inch 4G LET Smartphone 2GB+32GB 12MP Finger Sensor HD- Grey,,
Apple,Apple IPhone 7-4.7,"₦ 152,900","₦ 400,000",62%,Apple IPhone 7-4.7 Inch Smartphone 2GB+128GB 12MP Finger Sensor 4G LTE (gift) HD-Silver,,
Apple,Apple IPhone 7Plus-5.5,"₦ 209,900","₦ 410,000",49%,Apple IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Silver,,
Apple,Apple IPhone 6sP,"₦ 169,100","₦ 293,000",42%,Apple IPhone 6sP - 5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Rose Gold,,
Apple,Apple IPhone 7Plus-5.5,"₦ 209,900","₦ 410,000",49%,Apple IPhone 7Plus-5.5 Inch 4G LET Smartphone 2GB+128GB 12MP Finger Sensor HD-Red,,
Apple,Apple IPhone 6,"₦ 137,294",,,"Apple IPhone 6 Plus - 5.5"" 4G Smartphone - Refurbished Smartphone - IOS 8 - 1GB/16GB - 8MP - Finger Sensor EU - Golden",,
Apple,Apple IPhone 7,"₦ 201,320","₦ 303,571",34%,Apple IPhone 7 Plus Mobile Phone - 256GB - 3D Touch Technology - 5.5 Inch IOS 10 - Smartphone - Red,,
Apple,"Apple IPhone 11,","₦ 350,000","₦ 400,000",13%,"Apple IPhone 11, 6.1-Inch 64GB ROM 4G LTE Single Nano SIM - Green",,
Apple,Apple IPhone 6S,"₦ 103,300","₦ 210,900",51%,Apple IPhone 6S Plus Refurbished Smartphone 64GB (Gift)- Silver,1,5
Nokia,Nokia 5800 XpressMusic,"₦ 18,000","₦ 22,000",18%,Nokia 5800 XpressMusic 3.2MP 3G GPS WIFI  FM Radio Bluetooth Handwriting BarPhone,,
Apple,Apple IPhone SE,"₦ 78,189",,,"Apple IPhone SE 16GB 4.0"" - Golden With Fingerprint(Refurbished)",,
Apple,Apple IPhone 5S-16G+1G,"₦ 41,990","₦ 78,990",47%,Apple IPhone 5S-16G+1G - 4.0 Inch Screen-8MP Pixel(Refurbished)4G LTE ( Gift ) Smart Phone-Pink,,
Apple,Apple IPhone 6,"₦ 91,000","₦ 130,000",30%,Apple IPhone 6 Plus Mobile Phone 16GB 5.5 Inch IOS 8.0 Smartphone - Gold,,
Apple,Apple IPhone 6,"₦ 73,109","₦ 232,708",69%,Apple IPhone 6 Refurbished 4.7 Inch 1GB + 16GB 8MP + 1.2MP Finger Sensor 4G LTE Smartphone (Free Gift) – Silver,,
Apple,Apple IPhone 7-4.7,"₦ 127,900","₦ 400,000",68%,Apple IPhone 7-4.7 Inch Smartphone  2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Jet Black,,
Apple,Apple IPhone 7-4.7,"₦ 127,900","₦ 400,000",68%,Apple IPhone 7-4.7 Inch Smartphone  2GB+32GB 12MP Finger Sensor 4G LTE (gift) HD-Matte Black,,
Nokia,Nokia 5800 XpressMusic,"₦ 16,000","₦ 22,000",27%,Nokia 5800 XpressMusic 3.2MP 3G GPS WIFI Bluetooth Smartphone,,
Apple,Apple IPhone 7,"₦ 212,500","₦ 303,571",30%,Apple IPhone 7 Plus IOS Quad Core A10 Mobile Phone 5.5 Inch 256GB (Red),,
Apple,Apple IPhone 5SE-16G+1G,"₦ 59,990","₦ 199,000",70%,Apple IPhone 5SE-16G+1G - 4.0 Inch Screen-12MP Pixel Refurbished 4G LTE ( Gift ) Smart Phone-Grey,,
