Brand,Laptop Model,Current Prices,Old Price,Discounts,description,Ratings,Stars
Hp,Hp 250 G6,"₦ 236,000","₦ 245,000",4%,Hp 250 G6 Intel Core I3 2.0Ghz 1TB HDD 8GB RAM Wins 10,2,4
Hp,Hp Notebook 15,"₦ 243,000",,,"Hp Notebook 15 Intel Core I3 (12GB RAM, 1TB HDD-WIN 10 10TH GEN",,
Hp,Hp Spectre X360,"₦ 750,000","₦ 875,000",14%,Hp Spectre X360 Convertible 13-aw0023dx - 13.3'' OLED UHD 4K Touchscreen (400nits) - I7-1065G7 - 16GB RAM - 1TB Intel SSD + 32gb Optane Memory - Intel Iris Plus Graphics + Fingerprint + Stylus Pen & Sleeve.,,
10,10 Inch Tablet,"₦ 61,090","₦ 183,270",67%,10 Inch Tablet Computer System Call Durable Screen WiFi Tablet Android Tablet Screen Durable Tablet PC,,
DELL,DELL INSPIRON 3179,"₦ 236,500",,,DELL INSPIRON 3179 CI3 4GB 500GB 10 RED TOUCHSCREEN RED,,
Hp,Hp Notebook 15,"₦ 222,000","₦ 230,000",3%,"Hp Notebook 15 TouchScreen, Intel Pentium  1TB HDD,4GB RAM WIN10",,
Asus,Asus X412FA-EK871T Intel,"₦ 369,990","₦ 399,990",8%,Asus X412FA-EK871T Intel Core I7 8GB RAM 512GB SSD 14-Inch Windows 10 + Free 16GB Flash + Mouse,,
Hp,Hp Pavilion X360,"₦ 360,000","₦ 395,000",9%,"Hp Pavilion X360 14 Touchscreen Intel Core I5 (1.6 GHz Base Frequency, Up To 3.4 GHz Processor, 8GB DDR4 RAM, 1TB HDD, Windows 10 ",,
Hp,Hp Stream 11,"₦ 105,000","₦ 125,000",16%,Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH,,
Hp,Hp 15-intel Corei5,"₦ 325,500",,,Hp 15-intel Corei5 Touchscreen-256GB SSD+16GB Optane /12GB RAM+ Free Mouse,,
DELL,DELL Alienware M15,"₦ 1,100,000",,,DELL Alienware M15 R2 9th Gen Core I9  512gb 16gb 8gb Nvidia 2070 Windows 10,,
Hp,Hp Pavilion 11,"₦ 240,000",,,"Hp Pavilion 11 X360 Intel Pentium N5000( 4GB,128GB SSD) Wins10",,
Hp,Hp Notebook 15,"₦ 215,000","₦ 230,000",7%,"Hp Notebook 15 Intel Core I3 (4GB RAM, 500GB HDD  BAG- 32GB Flash+ Mouse- USB Light For Keyboard)15.6-Inch Windows 10 Black",,
Lenovo,Lenovo IdeaPad 3,"₦ 200,000",,,"Lenovo IdeaPad 3 14IML05(128GB SSD, Intel Pentium, 4GB) Windows 10 + 64GB OTG Flash Drive",,
Lenovo,Lenovo THINKPAD T490S,"₦ 640,000",,,"Lenovo THINKPAD T490S 8TH GEN CORE I7 1TB SSD 8GB RAM,TOUCHSCREEN,BACKLIT KEYBOARD,FP READER,WIN 10 PRO",,
DELL,"DELL Inspiron 15-3593,15.6""","₦ 420,000",,,"DELL Inspiron 15-3593,15.6"" 10th Gen Core I7-1065G7,512gb SSD 12gb RAM,Touchscreen,Win 10",,
Hp,Hp Pavilion 14,"₦ 335,000","₦ 350,000",4%,"Hp Pavilion 14 10th Gen Intel Core I3-,1TB HDD, 8GB RAM, 14"" Win 10",,
DELL,DELL Inspiron 13,"₦ 570,000",,,DELL Inspiron 13 7391  4K UHD  2-in-1 Core I7 16GB RAM 512GB SSD,,
Lenovo,"Lenovo Lenovo,Thinkpad E14,i5,10th","₦ 356,000","₦ 366,000",3%,"Lenovo Lenovo,Thinkpad E14,i5,10th Gen,1tb/8gb+2gb Nvidia Graphics,Dos",,
Hp,Hp Stream 14,"₦ 140,000",,,Hp Stream 14 Intel Celeron D/C  32GB HDD- 4GB RAM WIN 10+ Flash,,
